Title,Listing,Price,Reg_year,Mileage,Fuel,Body_type,Location,Transmission,No_of_seats,Cylinders,No_of_owners
Renault Clio 1.2 16v Extreme 2 3dr,Ideal first / learning car;,550,2003.0,109954,Petrol,Hatchback, None,Manual,5,1.6L,4 owners
Citroen Xsara Picasso 2.0 i 16v Desire 5dr,AUTO,995,2005.0,65000,Petrol,MPV, chelmsford,Automatic,5,1.2L,2 owners
Ford Focus 1.6 Ti-VCT Zetec 5dr,2x KEYS,3890,2011.0,91500,Petrol,Hatchback, acton,Manual,5,2.0L,
Vauxhall Zafira 1.9 CDTi Breeze Plus 5dr,,400,2008.0,93860,Diesel,MPV, luton,Manual,7,1.6L,3 owners
Vauxhall Astra 1.6 SXI 16V TWINPORT 5d 100 BHP MOT - 18/01/2021,CALL 07977223024 FOR QUESTIONS,950,2005.0,38000,,Hatchback, wickford,,5,1.9L,
Volkswagen Polo MATCH 1.2 3dr,"Air Conditioning,Just Serviced",5750,2011.0,34663,Petrol,Hatchback, maidenhead,Manual,5,,
MINI Hatchback COOPER D 1.5 5dr,"Chili Pack, Bluetooth",7500,2016.0,45546,Diesel,Hatchback,west malling,Manual,5,1.5L,
Vauxhall Astra 1.6 SXI 16V TWINPORT 5d 100 BHP MOT - 18/01/2021,CALL 07977223024 FOR QUESTIONS,950,2005.0,93860,,Hatchback, wickford,,5,,
Vauxhall Corsa 1.2i 16V SXi 3Door E/W MOT 22/10/2020,SIMPLY BEST PRICE.NO NONSENSE.,1188,2003.0,82000,Petrol,Hatchback, watford,Manual,5,1.2L,
Toyota Avensis 1.8 VVT-i Colour Collection 5dr,BRAND NEW CLUTCH FITTED,990,2006.0,109000,Petrol,Hatchback, reading,Manual,5,1.8L,
Mercedes-Benz C Class 2.1 C220 CDI Sport 4dr,2x KEYS,3690,2008.0,91000,Diesel,Saloon, acton,Automatic,5,2.1L,
Ford Fiesta 1.25 Style + 3dr,2 OWNERS+OCT 2020 MOT+,1495,2009.0,130000,Petrol,Hatchback, bristol,Manual,5,1.25L,
Fiat Seicento 1.1 Sporting 3dr,NOVEMBER 2020 MOT+RARE+,750,,130000,,, bristol,,4,,
Ford Mondeo 2.0 TDCi Ghia 5dr,,908,2006.0,134000,Diesel,Estate, feltham,Manual,5,,
